                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4622,                 2.2298,                 1.8543,                 1.3617,                0.76509,                0.75432,                0.76863,                0.59402,                 0.7635,                0.75383,                0.76476,                0.47927,                      0,                      0,                    inf,                      0,                 0.0705,              0.0032778,              0.0032778
                      1,                0.94284,                  1.446,                0.67743,                 1.0163,                0.81096,                0.83387,                0.85308,                0.67531,                 0.8278,                0.81683,                0.84665,                 0.5888,                      0,                      0,                    inf,                      0,               0.040282,              0.0063929,              0.0063929
                      2,                0.86285,                  1.303,                0.68685,                0.97012,                0.88405,                0.88709,                0.92027,                0.70569,                0.87159,                0.87602,                0.90123,                0.62918,                      0,                      0,                    inf,                      0,              0.0098437,              0.0092881,              0.0092881
                      3,                0.84639,                 1.1879,                0.55063,                0.95548,                0.89464,                0.91842,                0.93489,                0.72156,                0.88869,                 0.9018,                0.91553,                 0.6275,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      4,                0.75548,                 1.0974,                0.47583,                0.93143,                0.93066,                0.90576,                0.93782,                0.73454,                0.91674,                0.89495,                0.91691,                0.65247,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      5,                0.71563,                0.99355,                0.44822,                0.91305,                 0.9454,                0.91823,                 0.9663,                0.74989,                0.92633,                 0.9066,                0.93566,                0.66783,                      0,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                      6,                0.69081,                0.97005,                0.42612,                 0.9062,                0.93579,                0.94703,                0.97829,                0.79774,                0.93088,                0.94215,                0.97377,                 0.7262,                      0,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                      7,                  0.643,                0.90084,                0.41406,                0.88846,                0.93567,                0.95361,                 0.9706,                0.76079,                0.92287,                0.94036,                0.95642,                0.69077,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      8,                0.61989,                0.89027,                0.39442,                0.89096,                0.96857,                0.96361,                0.98845,                0.80117,                0.95809,                0.95019,                0.97721,                0.72806,                      0,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                      9,                0.60045,                0.87912,                0.36839,                0.87727,                 0.9704,                0.95664,                0.98107,                0.80332,                0.95328,                0.93794,                0.95684,                0.70847,                      0,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
